h_fib,lda0,Reflectance_port_1,Transmittance_port_2,Absorptance
1.78500e+00,5.00000e-01,9.99877e-01,6.71899e-06,1.16207e-04
1.78500e+00,5.00175e-01,9.99893e-01,6.25234e-06,1.00833e-04
1.78500e+00,5.00350e-01,9.99899e-01,6.01742e-06,9.49763e-05
1.78500e+00,5.00525e-01,9.99898e-01,6.15230e-06,9.61660e-05
1.78500e+00,5.00700e-01,9.99886e-01,7.02585e-06,1.06876e-04
1.78500e+00,5.00875e-01,9.99846e-01,1.01489e-05,1.43974e-04
1.78500e+00,5.01050e-01,9.99593e-01,2.91312e-05,3.77985e-04
1.78500e+00,5.01225e-01,9.92563e-01,4.63223e-04,6.97331e-03
1.78500e+00,5.01400e-01,9.99799e-01,6.71825e-06,1.93793e-04
1.78500e+00,5.01575e-01,9.99895e-01,1.84008e-06,1.03596e-04
1.78500e+00,5.01750e-01,9.99914e-01,1.01411e-06,8.51168e-05
1.78500e+00,5.01925e-01,9.99921e-01,7.48661e-07,7.78335e-05
1.78500e+00,5.02100e-01,9.99926e-01,6.21275e-07,7.33600e-05
1.78500e+00,5.02275e-01,9.99930e-01,5.40091e-07,6.96996e-05
1.78500e+00,5.02450e-01,9.99933e-01,4.78257e-07,6.63010e-05
1.78500e+00,5.02625e-01,9.99937e-01,4.25923e-07,6.30271e-05
1.78500e+00,5.02800e-01,9.99940e-01,3.78368e-07,5.98658e-05
1.78500e+00,5.02975e-01,9.99943e-01,3.32359e-07,5.68667e-05
1.78500e+00,5.03150e-01,9.99945e-01,2.84681e-07,5.42201e-05
1.78500e+00,5.03325e-01,9.99947e-01,2.31359e-07,5.26206e-05
1.78500e+00,5.03500e-01,9.99945e-01,1.69393e-07,5.48310e-05
1.78500e+00,5.03675e-01,9.99927e-01,1.26424e-07,7.30077e-05
1.78500e+00,5.03850e-01,9.99869e-01,3.33546e-07,1.30291e-04
1.78500e+00,5.04025e-01,9.99871e-01,5.99065e-07,1.28015e-04
1.78500e+00,5.04200e-01,9.99904e-01,5.59444e-07,9.49914e-05
1.78500e+00,5.04375e-01,9.99922e-01,4.97304e-07,7.74097e-05
1.78500e+00,5.04550e-01,9.99931e-01,4.53818e-07,6.82420e-05
1.78500e+00,5.04725e-01,9.99936e-01,4.24103e-07,6.32388e-05
1.78500e+00,5.04900e-01,9.99939e-01,4.03008e-07,6.07651e-05
1.78500e+00,5.05075e-01,9.99939e-01,3.87274e-07,6.01858e-05
1.78500e+00,5.05250e-01,9.99938e-01,3.74827e-07,6.12603e-05
1.78500e+00,5.05425e-01,9.99936e-01,3.64303e-07,6.39035e-05
1.78500e+00,5.05600e-01,9.99932e-01,3.54848e-07,6.80768e-05
1.78500e+00,5.05775e-01,9.99926e-01,3.46051e-07,7.37295e-05
1.78500e+00,5.05950e-01,9.99919e-01,3.37922e-07,8.07704e-05
1.78500e+00,5.06125e-01,9.99911e-01,3.30819e-07,8.90651e-05
1.78500e+00,5.06300e-01,9.99901e-01,3.25329e-07,9.84627e-05
1.78500e+00,5.06475e-01,9.99891e-01,3.22084e-07,1.08861e-04
1.78500e+00,5.06650e-01,9.99879e-01,3.21594e-07,1.20323e-04
1.78500e+00,5.06825e-01,9.99866e-01,3.24162e-07,1.33298e-04
1.78500e+00,5.07000e-01,9.99851e-01,3.30111e-07,1.49104e-04
1.78500e+00,5.07175e-01,9.99828e-01,3.41285e-07,1.71231e-04
1.78500e+00,5.07350e-01,9.99790e-01,3.69732e-07,2.09977e-04
1.78500e+00,5.07525e-01,9.99693e-01,5.05256e-07,3.06692e-04
1.78500e+00,5.07700e-01,9.99177e-01,2.09135e-06,8.21058e-04
1.78500e+00,5.07875e-01,9.83554e-01,1.33229e-04,1.63125e-02
1.78500e+00,5.08050e-01,9.99729e-01,5.62525e-06,2.65639e-04
1.78500e+00,5.08225e-01,9.99872e-01,3.87735e-06,1.24392e-04
